1,pending,32.12,17477.62,13.91,94439.33,70440.97,2023-05-05 21:56:31,2023-11-16 21:56:31,741,134622.77,check,,,,2a04hHsoLsgSZvySFM5TM0Qo6uK05mQHuDxVX1KKb3WUZ/11u0F8xJyZ6,2a04wpi4SsskfY4yt3sZZjA4uOeyl30bqscak.ITdugtHxqk3.XTjO4gq,1
2,pending,4688.22,4567.05,16.13,45639.60,106996.83,2023-07-02 23:54:56,2024-01-13 23:54:56,543,64327.58,card,2a04vfuTLTmyk2aLZBh8fC7Cje1s6fVtVuXU.SrbHgkEX2N.XLfiLAq36,8/26,031,,,2
3,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,3
4,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,4
5,pending,4494.56,8755.91,13.96,63548.72,58191.15,2024-02-10 01:01:33,2024-10-10 01:01:33,787,150648.54,check,,,,2a04C6LikOs8ruk4vm/higlL/OPPX6jJScF8UM68QhFmx6Aprn8k3TRJ.,2a045wzyhA5SDREo34l83OmDBeFEj6nXJTzNUd1qMj2zePQFa1lC471T.,5
6,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,6
7,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,7
8,pending,2050.66,18707.13,15.6,86352.59,21013.60,2023-08-19 10:00:49,2024-01-06 10:00:49,701,122329.47,card,2a0471wgixtblrtIXk3d4QUgL.dBmlscah/jYS.E05UTZ6CwvWoe79D/u,12/28,981,,,8
9,pending,343.71,80512.84,12.81,21490.38,104638.40,2024-01-06 02:42:19,2024-06-25 02:42:19,515,164565.09,card,2a04XNiCk1H4uRy4jIB8BWpDDuj7hEzKPcU1M.pUwczpTHO0nmq2Os7xC,5/27,649,,,9
10,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,10
11,pending,4416.65,40174.90,14.75,13875.48,9140.72,2023-02-09 16:40:11,2023-08-18 16:40:11,682,127523.50,card,2a041S0OF.HmwEIDTas0GtBlG.RI8dpElyE.yC09lFSbJONNbF6SRiMUO,12/26,437,,,11
12,pending,4956.96,57468.63,12.03,38941.30,72715.40,2023-02-19 15:22:35,2023-06-13 15:22:35,753,172212.47,check,,,,2a04n/xmksEeJx0E6sOui5eBmO87wpnhGJlkzp1K1cIsRuFc5lK7KndXy,2a04ZIPuPmfSSIOtmsroonNROO0sbhmSq3MRnsswU5wn7XHLVz2ismmiC,12
13,completed,799.79,88633.59,15.13,18282.04,105660.70,2023-02-25 07:56:25,2023-09-19 07:56:25,667,62184.39,card,2a04tLo.4jDwV5uabPLv4YXFVexLMvEuyKi37nN8kEiKw6EPUVfgtRBKq,11/29,166,,,13
14,completed,2150.40,111095.29,16.44,110763.50,21135.68,2023-10-31 19:54:33,2024-06-19 19:54:33,782,135757.18,check,,,,2a042guq1pLYSZTk6ykYQq3FYOJCx/noaBpVPc2UlBEx2XenASzTmr4uq,2a0422Z6xm08gBDqSHix3sfV3OnAE5YhNpdEVnbW4SaDxrTNuADV6zx/G,14
15,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,15
16,completed,3497.29,70422.32,11.48,91685.20,115526.12,2023-02-26 07:17:46,2023-10-21 07:17:46,805,160081.32,check,,,,2a04h6LeiwaQ4xaqhsnj/tNTcOwW3PhOAYXdytCbXs5GzTWshQtWyKKRC,2a04wiUf2t553Q13FBN/0heg/.TibrJU7bOHbxxOo4Y/8EYP8O2aq2giK,16
17,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,17
18,pending,4439.43,84104.98,16.69,40384.04,68474.55,2023-06-11 02:29:53,2023-12-08 02:29:53,705,88513.15,card,2a04qzD5W/vDeCamuXybWuB7LeAVa4Ta48yzx.Ksr.KUpAMASl4T4X9q6,12/26,928,,,18
19,pending,3659.42,44949.85,6.69,85729.86,107171.01,2023-03-02 11:45:23,2023-10-23 11:45:23,682,126606.92,check,,,,2a04z2i5D/jEwIwzSPUC0ZUEJePlE/4GC0HhXjEVfudLK8tLZCTzuvrKS,2a04PhOoPfBbexR1fCJ2PTReJuO8FXK8JuzJ9jBPj9S/zahefK2hyhfB6,19
20,completed,4250.45,72448.19,6.18,70686.40,4231.96,2023-10-11 13:08:00,2024-01-25 13:08:00,506,164915.47,card,2a046gAl2M.dor9bAh8dJ9HD3eDIiM3ccdl4IzA1CpeYp93O98etm3X96,11/27,589,,,20
21,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,21
22,completed,4851.12,99805.41,6.66,50562.19,27503.21,2024-02-06 14:17:27,2024-06-28 14:17:27,607,59186.62,check,,,,2a045IIlEYIRKzCgI8QeAmYgfezkf2bkImk68CdIx1RCSRQZHg1ZKE2US,2a04ZK60L96/Rpn92iDHs2nI1OaeEyfjC7CGWK3rMfxdPM/S7Wox2oSVa,22
23,pending,381.07,2429.32,7.39,53575.06,50644.75,2023-09-29 18:40:29,2024-03-12 18:40:29,796,52110.75,check,,,,2a04VIcenaTpX8qnm/gqs3je8OGPEjMRH57gQycgezF1hLtS9hUqt5tHS,2a04gIo.uxfbFFCtizaLiQvE7.aR1Mseqo4T8ash.VzYghSBWiDc5YxEK,23
24,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,24
25,pending,3612.70,102108.03,5.16,69649.95,14703.95,2023-03-27 17:24:46,2023-11-24 17:24:46,553,97488.39,check,,,,2a046R8zIa4Bk.i3a1Q3DEAqOOSeQnalLCuKzCuW57noq02xu317S6H8S,2a04drFEwz6Q6eA8rSUnfx2wiula6kJIQOs4hyNwgLvN8O.DH.5pVNIAq,25
26,completed,2072.01,11858.67,8.05,52364.06,55936.45,2023-07-27 04:30:12,2024-03-20 04:30:12,571,46557.07,card,2a04AwnSxH9m4BRU1Cw3MMZ/2OsB9C6IARjI4ayV6UOPOmPugVO2NqbpC,12/26,070,,,26
27,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,27
28,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,28
29,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,29
30,completed,785.23,53352.80,10.53,99454.43,37680.81,2023-12-03 00:37:02,2024-08-07 00:37:02,797,88753.30,check,,,,2a04S6Yt28gnJOLoVoQc9mObgOaXZ4UvTUWW5UhUnoIFi.Hlkr9cljdGi,2a04oAyMyb.vNEu0wPAP9psTXOx8P8.VlINRrK22eZVK9gzqh5Cqgtcoq,30
31,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,31
32,none,,,,,,1970-01-01 00:00:02,1970-01-01 00:00:02,,,none,,,,,,32
